Customer ID,Frequency,Monetary,churn_prob,churned
12346.0,12,77556.46,0.71,1
12347.0,5,3529.27,0.07,0
12348.0,4,1709.3999999999999,0.18,0
12349.0,3,2671.14,0.32,0
12350.0,1,334.40000000000003,0.98,1
12351.0,1,300.93,0.92,1
12352.0,7,1905.6100000000001,0.21,0
12353.0,2,406.76,0.89,1
12354.0,1,1079.4,0.53,1
12355.0,2,947.61,0.9,1
12356.0,5,6315.33,0.16,0
12357.0,2,12079.99,0.24,0
12358.0,4,3203.87,0.34,0
12359.0,9,6059.09,0.13,0
12360.0,6,2674.41,0.04,0
12361.0,4,511.25,0.85,1
12362.0,4,1408.1,0.25,0
12363.0,1,299.09999999999997,0.6,0
12365.0,2,641.38,0.84,1
12366.0,1,500.24,0.55,1
12368.0,1,917.7,0.93,1
12369.0,3,1791.15,0.81,1
12370.0,6,3581.03,0.06,0
12371.0,3,2179.42,0.46,0
12372.0,2,914.9200000000001,0.21,0
12373.0,3,1127.65,0.84,1
12374.0,3,2246.29,0.32,0
12376.0,2,503.15,0.88,1
12377.0,4,3426.32,0.77,1
12378.0,1,1407.7,0.32,0
12379.0,3,1227.82,0.21,0
12380.0,8,7559.04,0.07,0
12383.0,5,1850.56,0.65,1
12385.0,1,1938.4,0.32,1
12386.0,2,660.8000000000001,0.8,1
12387.0,1,143.94,0.94,1
12388.0,6,2788.79,0.13,0
12389.0,3,1433.33,0.88,1
12391.0,5,2312.53,0.11,0
12392.0,1,234.75,0.9,1
12393.0,5,1877.95,0.09,0
12394.0,1,381.08,0.22,0
12395.0,10,3782.26,0.08,0
12396.0,1,931.4300000000001,0.4,1
12397.0,1,1214.81,0.11,0
12399.0,6,1752.68,0.34,0
12400.0,1,205.25,0.94,1
12401.0,1,84.3,0.55,1
12402.0,6,1256.9,0.83,1
12403.0,1,591.6600000000001,0.21,0
12404.0,1,63.24,1.0,1
12405.0,1,1710.39,0.45,1
12406.0,4,4596.31,0.17,0
12407.0,3,1215.02,0.17,0
12408.0,6,2943.99,0.05,0
12409.0,5,18553.7,0.12,0
12410.0,3,1013.71,0.88,1
12411.0,1,346.9,0.97,1
12412.0,5,2260.79,0.11,0
12413.0,3,805.25,0.27,0
12414.0,6,952.4100000000001,0.8,1
12415.0,19,96809.56,0.14,0
12416.0,1,202.56,0.79,1
12417.0,16,5066.08,0.04,0
12418.0,3,1352.6200000000001,0.19,0
12419.0,2,503.01,0.8,1
12421.0,4,688.36,0.23,0
12422.0,16,5084.1,0.02,0
12423.0,8,2214.77,0.33,0
12424.0,4,3340.0299999999997,0.35,1
12425.0,1,964.21,0.32,0
12426.0,2,1345.21,0.83,1
12427.0,1,607.0,0.25,0
12428.0,7,6942.9800000000005,0.11,0
12429.0,7,6580.39,0.05,0
12431.0,22,8636.33,0.03,0
12432.0,3,4016.66,0.27,0
